episode,player,total_reward,steps_played,won
400_B,B,-2.0,10.0,W
401_W,W,2.0,8.0,B
401_B,B,1003.0,7.0,B
402_W,W,993.0,17.0,W
402_B,B,-7.0,15.0,W
403_W,W,1004.0,6.0,W
403_B,B,-10.0,18.0,W
404_W,W,1000.0,8.0,W
404_B,B,-6.0,12.0,W
405_W,W,1003.0,11.0,W
405_B,B,-14.0,26.0,W
406_W,W,-14.0,28.0,B
406_B,B,973.0,41.0,B
407_W,W,1004.0,6.0,W
407_B,B,-5.0,13.0,W
408_W,W,949.0,63.0,W
408_B,B,-6.0,16.0,W
409_W,W,2.0,10.0,B
409_B,B,985.0,27.0,B
410_W,W,-1.0,9.0,B
410_B,B,992.0,16.0,B
411_W,W,997.0,11.0,W
411_B,B,2.0,4.0,W
412_W,W,989.0,21.0,W
412_B,B,-1.0,9.0,W
413_W,W,-2.0,10.0,B
413_B,B,993.0,15.0,B
414_W,W,-7.0,15.0,B
414_B,B,996.0,12.0,B
415_W,W,1003.0,9.0,W
415_B,B,-7.0,17.0,W
416_W,W,995.0,13.0,W
416_B,B,-3.0,9.0,W
417_W,W,2.0,8.0,B
417_B,B,990.0,20.0,B
418_W,W,4.0,6.0,W
418_B,B,-1017.0,27.0,W
419_W,W,1005.0,5.0,W
419_B,B,-1.0,9.0,W
420_W,W,1000.0,12.0,W
